"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Average Journal Impact Factor Percentile
56,Annual Review of Psychology,ANNU REV PSYCHOL,19.950,99.482
56,Annual Review of Psychology,ANNU REV PSYCHOL,19.950,99.482
58,Annual Review of Biochemistry,ANNU REV BIOCHEM,19.939,99.138
59,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,19.896,98.810
60,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,19.864,99.405
61,ADVANCED MATERIALS,ADV MATER,19.791,97.640
62,Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,19.742,99.638
63,CIRCULATION,CIRCULATION,19.309,98.611
64,Nature Climate Change,NAT CLIM CHANGE,19.304,99.427
64,Nature Climate Change,NAT CLIM CHANGE,19.304,99.427
66,Lancet Respiratory Medicine,LANCET RESP MED,19.287,98.819
67,Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,18.588,94.776
68,GASTROENTEROLOGY,GASTROENTEROLOGY,18.392,99.367
69,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,18.318,98.913
70,Cell Metabolism,CELL METAB,18.164,97.384
71,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,17.893,99.416
72,NATURE NEUROSCIENCE,NAT NEUROSCI,17.839,99.421
73,Advances in Optics and Photonics,ADV OPT PHOTONICS,17.833,98.370
74,Lancet Global Health,LANCET GLOB HEALTH,17.686,99.699
74,Lancet Global Health,LANCET GLOB HEALTH,17.686,99.699
76,Nano Today,NANO TODAY,17.476,96.949
77,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,17.425,96.835
78,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,17.382,99.003
79,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,17.202,97.097
80,IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,17.188,99.548
81,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,16.793,98.445
81,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,16.793,98.445
83,Science Translational Medicine,SCI TRANSL MED,16.761,97.440
84,Advanced Energy Materials,ADV ENERGY MATER,16.721,96.617
85,GUT,GUT,16.658,98.101
86,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,16.630,98.793
87,JAMA Oncology,JAMA ONCOL,16.559,96.544
88,JAMA Internal Medicine,JAMA INTERN MED,16.538,96.452
89,PSYCHOLOGICAL INQUIRY,PSYCHOL INQ,16.455,98.062
90,EUROPEAN UROLOGY,EUR UROL,16.265,99.351
91,ENDOCRINE REVIEWS,ENDOCR REV,15.745,97.464
92,Annual Review of Neuroscience,ANNU REV NEUROSCI,15.630,99.035
93,CELL RESEARCH,CELL RES,15.606,95.526
94,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,15.402,99.024
94,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,15.402,99.024
96,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,15.333,95.000
97,JAMA Psychiatry,JAMA PSYCHIAT,15.307,98.932
97,JAMA Psychiatry,JAMA PSYCHIAT,15.307,98.932
99,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,15.268,99.045
100,Nature Chemical Biology,NAT CHEM BIOL,15.066,98.448
101,Cell Host & Microbe,CELL HOST MICROBE,14.946,98.380
102,Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,14.917,96.627
103,JOURNAL OF MANAGED CARE PHARMACY,J MANAGE CARE PHARM,14.789,99.236
104,Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,14.741,97.603
105,MOLECULAR CELL,MOL CELL,14.714,96.025
106,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,14.533,97.200
107,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,14.311,95.570
108,Nature Reviews Cardiology,NAT REV CARDIOL,14.299,97.222
109,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,14.200,97.250
109,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,14.200,97.250
111,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,14.176,98.220
111,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,14.176,98.220
113,Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,14.143,97.287
114,Light-Science & Applications,LIGHT-SCI APPL,14.098,97.283
115,NEURON,NEURON,14.024,97.876
116,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,14.020,99.006
117,Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,14.016,97.302
118,STUDIES IN MYCOLOGY,STUD MYCOL,14.000,98.333
119,CIRCULATION RESEARCH,CIRC RES,13.965,97.778
120,ACS Nano,ACS NANO,13.942,96.171
121,Nature Geoscience,NAT GEOSCI,13.941,99.734
122,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,J AM CHEM SOC,13.858,94.277
123,Physics of Life Reviews,PHYS LIFE REV,13.840,99.363
124,Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,13.678,96.835
125,Applied Physics Reviews,APPL PHYS REV,13.667,96.284
126,Annual Review of Medicine,ANNU REV MED,13.609,98.047
127,FUNGAL DIVERSITY,FUNGAL DIVERS,13.465,95.000
128,Annual Review of Materials Research,ANNU REV MATER RES,13.432,96.545
129,SURFACE SCIENCE REPORTS,SURF SCI REP,13.333,94.012
130,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,13.324,98.913
131,TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,13.287,97.020
132,HEPATOLOGY,HEPATOLOGY,13.246,95.570
133,PROGRESS IN NEUROBIOLOGY,PROG NEUROBIOL,13.217,97.490
134,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,13.204,96.456
134,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,13.204,97.466
136,BLOOD,BLOOD,13.164,97.857
137,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,13.081,97.217
138,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,12.877,99.047
139,Annual Review of Entomology,ANNU REV ENTOMOL,12.867,99.462
140,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,12.811,98.333
141,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,12.797,98.249
142,Physical Review X,PHYS REV X,12.789,94.304
143,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,12.784,97.266
144,NANO LETTERS,NANO LETT,12.712,94.356
145,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,12.595,96.260
146,JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,12.589,96.083
147,JOURNAL OF HEPATOLOGY,J HEPATOL,12.486,94.304
148,Living Reviews in Solar Physics,LIVING REV SOL PHYS,12.455,97.619
149,Nano Energy,NANO ENERGY,12.343,94.823
150,REVIEWS OF GEOPHYSICS,REV GEOPHYS,12.340,99.405
151,Annual Review of Marine Science,ANNU REV MAR SCI,12.333,98.981
152,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,J PHOTOCH PHOTOBIO C,12.317,94.178
153,ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,12.213,97.844
154,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,12.198,96.400
155,Nature Reviews Rheumatology,NAT REV RHEUMATOL,12.188,95.000
156,Nature Reviews Nephrology,NAT REV NEPHROL,12.146,98.052
157,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,12.136,98.170
157,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,12.136,98.170
159,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,12.124,92.935
159,Nature Communications,NAT COMMUN,12.124,96.094
161,INTENSIVE CARE MEDICINE,INTENS CARE MED,12.015,92.424
162,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,11.994,92.470
163,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,11.991,96.090
164,GENOME RESEARCH,GENOME RES,11.922,97.804
165,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,11.911,99.292
166,GENOME BIOLOGY,GENOME BIOL,11.908,97.559
167,PLOS MEDICINE,PLOS MED,11.862,95.806
168,DIABETES CARE,DIABETES CARE,11.857,96.739
169,ANNALS OF ONCOLOGY,ANN ONCOL,11.855,95.622
170,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,11.764,97.860
171,HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,11.748,98.825
172,LEUKEMIA,LEUKEMIA,11.702,95.795
173,BIOLOGICAL REVIEWS,BIOL REV,11.615,98.235
174,Lancet Psychiatry,LANCET PSYCHIAT,11.588,97.157
174,Lancet Psychiatry,LANCET PSYCHIAT,11.588,97.157
176,PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,11.587,99.153
177,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,11.483,99.148
178,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,11.412,96.229
179,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,11.229,96.164
180,PHARMACOLOGY & THERAPEUTICS,PHARMACOL THERAPEUT,11.127,97.471
181,TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,11.126,97.188
182,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,11.124,95.946
183,Academy of Management Annals,ACAD MANAG ANN,11.115,99.742
183,Annual Review of Physiology,ANNU REV PHYSIOL,11.115,98.214
185,TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,11.020,96.162
186,NATURAL PRODUCT REPORTS,NAT PROD REP,11.014,98.233
187,PROGRESS IN QUANTUM ELECTRONICS,PROG QUANT ELECTRON,11.000,99.809
188,Annual Review of Phytopathology,ANNU REV PHYTOPATHOL,10.981,98.821
189,DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,10.906,97.082
190,TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,10.893,96.014
191,TRENDS IN GENETICS,TRENDS GENET,10.844,96.707
192,TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,10.732,94.877
193,IEEE Industrial Electronics Magazine,IEEE IND ELECTRON M,10.710,99.427
194,Materials Horizons,MATER HORIZ,10.706,93.479
195,Annual Review of Biophysics,ANNU REV BIOPHYS,10.676,96.575
196,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,10.629,99.572
197,ACS Catalysis,ACS CATAL,10.614,92.808
198,BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,10.597,96.563
199,PROGRESS IN LIPID RESEARCH,PROG LIPID RES,10.583,97.536
200,EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,10.569,95.763
201,Annual Review of Biomedical Engineering,ANNU REV BIOMED ENG,10.514,99.351
202,IEEE COMMUNICATIONS MAGAZINE,IEEE COMMUN MAG,10.435,98.680
203,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,10.391,95.958
204,Nature Plants,NAT PLANTS,10.300,98.349
205,BRAIN,BRAIN,10.292,96.685
206,JAMA Pediatrics,JAMA PEDIATR,10.251,99.587
207,Annual Review of Public Health,ANNU REV PUBL HEALTH,10.228,98.812
207,Annual Review of Public Health,ANNU REV PUBL HEALTH,10.228,98.812
209,JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,10.189,97.621
210,Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,10.182,97.947
211,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,10.162,95.345
212,Nature Protocols,NAT PROTOC,10.032,98.077
213,JAMA Neurology,JAMA NEUROL,10.029,97.680
214,CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,9.937,92.368
215,ANNALS OF NEUROLOGY,ANN NEUROL,9.890,95.976
216,Lancet HIV,LANCET HIV,9.842,96.624
217,PLOS BIOLOGY,PLOS BIOL,9.797,96.029
218,EMBO JOURNAL,EMBO J,9.792,93.249
219,LAND DEGRADATION & DEVELOPMENT,LAND DEGRAD DEV,9.787,98.719
220,Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,9.780,97.617
221,ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,9.776,98.284
222,Molecular Systems Biology,MOL SYST BIOL,9.750,94.310
223,Journal of Cachexia Sarcopenia and Muscle,J CACHEXIA SARCOPENI,9.697,95.161
224,ISME Journal,ISME J,9.664,96.583
225,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,9.661,94.531
226,IEEE SIGNAL PROCESSING MAGAZINE,IEEE SIGNAL PROC MAG,9.654,98.664
227,CLINICAL CANCER RESEARCH,CLIN CANCER RES,9.619,94.700
228,IMMUNOLOGICAL REVIEWS,IMMUNOL REV,9.614,94.371
229,SEMINARS IN IMMUNOLOGY,SEMIN IMMUNOL,9.611,93.709
230,AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,9.566,93.038
231,Alzheimers & Dementia,ALZHEIMERS DEMENT,9.478,96.649
232,CHEMISTRY OF MATERIALS,CHEM MATER,9.466,93.425
233,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BBA-REV CANCER,9.452,94.470
234,ECOLOGY LETTERS,ECOL LETT,9.449,97.712
235,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,9.446,96.189
236,Journal of Statistical Software,J STAT SOFTW,9.436,99.560
237,FRONTIERS IN NEUROENDOCRINOLOGY,FRONT NEUROENDOCRIN,9.425,94.483
238,Annual Review of Microbiology,ANNU REV MICROBIOL,9.415,94.000
239,GENES & DEVELOPMENT,GENE DEV,9.413,94.588
240,ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,9.408,99.407
241,MASS SPECTROMETRY REVIEWS,MASS SPECTROM REV,9.373,98.810
242,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,PERS SOC PSYCHOL REV,9.361,99.194
243,Journal of Physical Chemistry Letters,J PHYS CHEM LETT,9.353,93.777
244,Bone Research,BONE RES,9.326,92.857
245,CURRENT OPINION IN BIOTECHNOLOGY,CURR OPIN BIOTECH,9.294,96.366
246,EMBO Molecular Medicine,EMBO MOL MED,9.249,94.922
247,PROCEEDINGS OF THE IEEE,P IEEE,9.237,98.282
248,DEVELOPMENTAL CELL,DEV CELL,9.174,92.346
249,NPG Asia Materials,NPG ASIA MATER,9.157,94.000
250,SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,9.141,93.779
251,GREEN CHEMISTRY,GREEN CHEM,9.125,94.826
252,CANCER RESEARCH,CANCER RES,9.122,93.318
253,npj Quantum Information,NPJ QUANTUM INFORM,9.111,92.243
254,Annual Review of Nutrition,ANNU REV NUTR,9.054,98.148
255,Advanced Science,ADV SCI,9.034,91.510
256,AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,9.025,95.509
257,FISH AND FISHERIES,FISH FISH,9.013,99.000
258,ANNALS OF SURGERY,ANN SURG,8.980,99.746
259,IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,8.972,98.276
260,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,J AM SOC NEPHROL,8.966,96.753
261,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,8.964,95.880
261,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,8.964,95.880
263,AUTOIMMUNITY REVIEWS,AUTOIMMUN REV,8.961,93.046
264,SLEEP MEDICINE REVIEWS,SLEEP MED REV,8.958,95.075
265,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,ASTROPHYS J SUPPL S,8.955,94.444
266,SYSTEMATIC BIOLOGY,SYST BIOL,8.917,94.792
267,CLINICAL PSYCHOLOGY REVIEW,CLIN PSYCHOL REV,8.897,98.760
268,Journal of Materials Chemistry A,J MATER CHEM A,8.867,93.179
269,CURRENT BIOLOGY,CURR BIOL,8.851,91.942
270,National Science Review,NATL SCI REV,8.843,92.969
271,JACC-Cardiovascular Interventions,JACC-CARDIOVASC INTE,8.841,94.841
272,Molecular Plant,MOL PLANT,8.827,95.577
273,Cold Spring Harbor Perspectives in Biology,CSH PERSPECT BIOL,8.769,89.737
274,Theranostics,THERANOSTICS,8.766,94.141
275,MEDICINAL RESEARCH REVIEWS,MED RES REV,8.763,97.096
276,ECOLOGICAL MONOGRAPHS,ECOL MONOGR,8.759,97.059
277,Annual Review of Genetics,ANNU REV GENET,8.745,94.910
278,PLANT CELL,PLANT CELL,8.726,93.182
279,DIABETES,DIABETES,8.684,93.841
280,Chemical Science,CHEM SCI,8.668,90.060
281,Soft Robotics,SOFT ROBOT,8.649,98.077
282,Small,SMALL,8.643,89.926
283,PROGRESS IN SURFACE SCIENCE,PROG SURF SCI,8.619,86.513
284,INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,8.605,92.545
285,Autophagy,AUTOPHAGY,8.593,88.684
286,CANCER TREATMENT REVIEWS,CANCER TREAT REV,8.589,92.857
287,Particle and Fibre Toxicology,PART FIBRE TOXICOL,8.577,97.283
288,EMBO REPORTS,EMBO REP,8.568,90.372
289,GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,8.502,97.838
290,Microbiome,MICROBIOME,8.496,93.200
291,JACC-Heart Failure,JACC-HEART FAIL,8.493,94.048
292,PHYSICAL REVIEW LETTERS,PHYS REV LETT,8.462,93.038
293,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,TRAC-TREND ANAL CHEM,8.442,99.342
294,Laser & Photonics Reviews,LASER PHOTONICS REV,8.434,90.420
295,Cell Systems,CELL SYST,8.406,89.936
296,BIOMATERIALS,BIOMATERIALS,8.402,98.268
297,KIDNEY INTERNATIONAL,KIDNEY INT,8.395,95.455
298,CURRENT OPINION IN IMMUNOLOGY,CURR OPIN IMMUNOL,8.384,92.384
299,CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,8.339,89.501
300,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,8.329,98.196
301,NEUROLOGY,NEUROLOGY,8.320,95.619
302,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NEUROSCI BIOBEHAV R,8.299,94.364
303,Cancer Immunology Research,CANCER IMMUNOL RES,8.284,92.059
304,Cell Reports,CELL REP,8.282,86.579
305,THORAX,THORAX,8.272,94.068
306,GENETICS IN MEDICINE,GENET MED,8.229,94.311
307,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,8.222,92.857
307,EMERGING INFECTIOUS DISEASES,EMERG INFECT DIS,8.222,94.042
307,INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,8.222,98.120
310,CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,8.216,92.877
311,OPHTHALMOLOGY,OPHTHALMOLOGY,8.204,97.458
312,ALDRICHIMICA ACTA,ALDRICHIM ACTA,8.182,97.458
313,PROGRESS IN CARDIOVASCULAR DISEASES,PROG CARDIOVASC DIS,8.177,93.254
314,METABOLIC ENGINEERING,METAB ENG,8.142,95.313
315,BMC Medicine,BMC MED,8.097,94.516
316,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,8.085,96.602
317,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,8.050,95.135
318,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,8.039,96.675
319,CLINICAL CHEMISTRY,CLIN CHEM,8.008,98.333
320,JOURNAL OF INTERNAL MEDICINE,J INTERN MED,7.980,93.871
321,JAMA Surgery,JAMA SURG,7.956,99.239
322,JOURNAL OF CELL BIOLOGY,J CELL BIOL,7.955,86.053
323,ACS Central Science,ACS CENTRAL SCI,7.939,88.855
324,Applied Mechanics Reviews,APPL MECH REV,7.921,98.872
325,CURRENT OPINION IN CHEMICAL BIOLOGY,CURR OPIN CHEM BIOL,7.889,92.694
326,Obesity Reviews,OBES REV,7.883,93.116
327,Liver Cancer,LIVER CANCER,7.854,91.854
328,JOURNAL OF CONTROLLED RELEASE,J CONTROL RELEASE,7.786,92.278
328,NEURO-ONCOLOGY,NEURO-ONCOLOGY,7.786,93.289
330,BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,7.780,94.277
331,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,INT J EPIDEMIOL,7.738,97.443
332,Nature Reviews Urology,NAT REV UROL,7.735,94.156
333,JOURNAL OF MANAGEMENT,J MANAGE,7.733,98.949
334,Optica,OPTICA,7.727,95.109
335,eLife,ELIFE,7.725,95.882
336,OncoImmunology,ONCOIMMUNOLOGY,7.719,90.374
337,HAEMATOLOGICA,HAEMATOLOGICA,7.702,95.000
338,IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,7.671,97.062
339,Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,7.644,98.160
340,JOURNAL OF AUTOIMMUNITY,J AUTOIMMUN,7.641,89.073
341,PSYCHOLOGICAL REVIEW,PSYCHOL REV,7.638,95.334
341,PSYCHOLOGICAL REVIEW,PSYCHOL REV,7.638,95.334
343,AMERICAN JOURNAL OF KIDNEY DISEASES,AM J KIDNEY DIS,7.623,92.857
344,EXERCISE IMMUNOLOGY REVIEW,EXERC IMMUNOL REV,7.600,93.897
345,IEEE Internet of Things Journal,IEEE INTERNET THINGS,7.596,96.535
346,Annual Review of Genomics and Human Genetics,ANNU REV GENOM HUM G,7.579,93.713
347,SCHIZOPHRENIA BULLETIN,SCHIZOPHRENIA BULL,7.575,95.381
347,SCHIZOPHRENIA BULLETIN,SCHIZOPHRENIA BULL,7.575,95.381
349,ONCOGENE,ONCOGENE,7.519,90.100
350,PERSOONIA,PERSOONIA,7.511,91.667
351,ACS Applied Materials & Interfaces,ACS APPL MATER INTER,7.504,89.482
352,SPACE SCIENCE REVIEWS,SPACE SCI REV,7.497,91.270
353,Mucosal Immunology,MUCOSAL IMMUNOL,7.478,87.748
354,AGEING RESEARCH REVIEWS,AGEING RES REV,7.452,91.990
355,PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,7.443,95.498
356,Annual Review of Analytical Chemistry,ANNU REV ANAL CHEM,7.435,96.570
357,ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,7.417,97.807
358,MATRIX BIOLOGY,MATRIX BIOL,7.400,87.668
359,Clinical Gastroenterology and Hepatology,CLIN GASTROENTEROL H,7.398,90.506
360,NEUROSCIENTIST,NEUROSCIENTIST,7.391,93.915
361,IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,7.384,97.172
362,Nanoscale,NANOSCALE,7.367,89.164
